Co 0.8168 V 0.0986 Zr 0.0846 -0.0000
Co 0.8008 V 0.114 Zr 0.0852 -0.0000
Co 0.8143 V 0.097 Zr 0.0886 -0.0000
Co 0.7988 V 0.112 Zr 0.0892 -0.0000
Co 0.7805 V 0.1299 Zr 0.0895 -0.0000
Co 0.8118 V 0.0953 Zr 0.0929 -0.0000
Co 0.7967 V 0.11 Zr 0.0934 -0.0000
Co 0.7792 V 0.127 Zr 0.0937 -0.0000
Co 0.7592 V 0.147 Zr 0.0938 -0.0000
Co 0.8088 V 0.0938 Zr 0.0974 -0.0000
Co 0.7942 V 0.108 Zr 0.0978 -0.0000
Co 0.735 V 0.167 Zr 0.098 -0.0000
Co 0.7769 V 0.125 Zr 0.0981 -0.0000
Co 0.7576 V 0.1441 Zr 0.0983 -0.0000
Co 0.8058 V 0.0922 Zr 0.102 -0.0000
Co 0.709 V 0.189 Zr 0.102 -0.0000
Co 0.7347 V 0.1632 Zr 0.1021 -0.0000
Co 0.7742 V 0.1229 Zr 0.1029 -0.0000
Co 0.791 V 0.106 Zr 0.103 -0.0000
Co 0.756 V 0.141 Zr 0.103 -0.0000
Co 0.709 V 0.185 Zr 0.106 -0.0000
Co 0.733 V 0.16 Zr 0.107 -0.0000
Co 0.8022 V 0.0908 Zr 0.107 -0.0000
Co 0.7532 V 0.1389 Zr 0.1079 -0.0000
Co 0.788 V 0.104 Zr 0.108 -0.0000
Co 0.772 V 0.12 Zr 0.108 -0.0000
Co 0.682 V 0.208 Zr 0.11 -0.0000
Co 0.708 V 0.181 Zr 0.111 -0.0000
Co 0.731 V 0.157 Zr 0.112 -0.0000
Co 0.7842 V 0.1029 Zr 0.1129 -0.0000
Co 0.7978 V 0.0893 Zr 0.113 -0.0000
Co 0.769 V 0.118 Zr 0.113 -0.0000
Co 0.751 V 0.136 Zr 0.113 -0.0000
Co 0.653 V 0.234 Zr 0.113 -0.0000
Co 0.681 V 0.204 Zr 0.115 -0.0000
Co 0.706 V 0.177 Zr 0.117 -0.0000
Co 0.7283 V 0.1538 Zr 0.1179 -0.0000
Co 0.781 V 0.101 Zr 0.118 -0.0000
Co 0.766 V 0.116 Zr 0.118 -0.0000
Co 0.749 V 0.133 Zr 0.118 -0.0000
Co 0.7941 V 0.0879 Zr 0.118 -0.0000
Co 0.6523 V 0.2288 Zr 0.1189 -0.0000
Co 0.68 V 0.199 Zr 0.121 -0.0000
Co 0.705 V 0.173 Zr 0.122 -0.0000
Co 0.622 V 0.256 Zr 0.122 -0.0000
Co 0.7267 V 0.1502 Zr 0.1231 -0.0000
